K,ErrorRate_distance,ErrorRate_uniform
1,0.26,0.26
2,0.26,0.23619047619047617
3,0.24,0.2438095238095238
4,0.23809523809523814,0.23428571428571432
5,0.24095238095238092,0.23809523809523814
6,0.2238095238095238,0.2171428571428572
7,0.2238095238095238,0.2209523809523809
8,0.22571428571428576,0.2238095238095238
9,0.21999999999999997,0.2209523809523809
10,0.21904761904761905,0.21333333333333337
11,0.20952380952380956,0.21238095238095234
12,0.2209523809523809,0.2209523809523809
13,0.21809523809523812,0.22285714285714286
14,0.2238095238095238,0.22476190476190472
15,0.2209523809523809,0.22190476190476194
16,0.2171428571428572,0.2171428571428572
17,0.2171428571428572,0.21333333333333337
18,0.21904761904761905,0.21999999999999997
19,0.21523809523809523,0.2142857142857143
20,0.21523809523809523,0.2142857142857143
21,0.2114285714285714,0.20666666666666667
22,0.2114285714285714,0.20571428571428574
23,0.2142857142857143,0.2114285714285714
24,0.2114285714285714,0.2047619047619048
25,0.2114285714285714,0.20285714285714285
26,0.2076190476190476,0.19904761904761903
27,0.2047619047619048,0.19999999999999996
28,0.20857142857142852,0.20190476190476192
29,0.2114285714285714,0.20952380952380956
30,0.2114285714285714,0.2076190476190476
31,0.20857142857142852,0.20571428571428574
32,0.21047619047619048,0.20666666666666667
33,0.21523809523809523,0.2076190476190476
34,0.21047619047619048,0.20666666666666667
35,0.21047619047619048,0.20571428571428574
36,0.2114285714285714,0.20380952380952377
37,0.21047619047619048,0.2076190476190476
38,0.2047619047619048,0.2076190476190476
39,0.2114285714285714,0.21238095238095234
40,0.2114285714285714,0.2047619047619048
41,0.2142857142857143,0.2076190476190476
42,0.21238095238095234,0.2047619047619048
43,0.2114285714285714,0.20666666666666667
44,0.21047619047619048,0.20285714285714285
45,0.2076190476190476,0.200952380952381
46,0.20666666666666667,0.20857142857142852
47,0.20857142857142852,0.20571428571428574
48,0.20571428571428574,0.20380952380952377
49,0.2114285714285714,0.20285714285714285
50,0.21238095238095234,0.20285714285714285
